CODE112	-1446.026	274.651	-175.281	0.007	0.006	0.006	0.000
CODE122	-1486.641	277.824	436.330	0.008	0.006	0.006	0.000
CODE135	-1476.933	138.462	645.400	0.007	0.006	0.005	0.000
CODE136	-1346.272	-452.595	180.087	0.007	0.005	0.005	0.000
CODE137	-1315.544	-455.117	-297.098	0.008	0.006	0.006	0.000
CODE139	-1513.759	718.427	-315.251	0.009	0.007	0.007	0.000
CODE140	-1413.711	133.147	-307.749	0.007	0.006	0.006	0.000
CODE141	-1259.676	-460.626	-1156.325	0.012	0.010	0.010	0.000
CODE142	-1457.558	713.120	-1176.689	0.014	0.009	0.009	0.000
CODE143	-1468.850	275.965	170.051	0.007	0.006	0.006	0.000
CODE146	-1575.990	722.081	636.477	0.009	0.007	0.006	0.000
CODE147	-1377.188	-449.049	651.760	0.008	0.006	0.006	0.000
CODE211	-1405.062	-100.624	175.545	0.008	0.006	0.006	0.000
CODE221	-1422.490	-100.965	443.502	0.007	0.006	0.006	0.000
CODE232	-1381.998	-104.719	-168.978	0.008	0.006	0.006	0.000
NUGGET135_1	-1480.351	152.341	661.294	0.007	0.006	0.006	0.000
NUGGET135_6	-1480.003	158.140	640.799	0.007	0.006	0.006	0.000
NUGGET135_15	-1475.813	138.063	629.595	0.007	0.006	0.005	0.000
NUGGET135_A	-1479.019	158.424	625.721	0.007	0.006	0.006	0.000
NUGGET135_B	-1474.324	122.959	645.958	0.007	0.006	0.006	0.000
NUGGET135_C	-1475.264	122.672	660.981	0.007	0.006	0.006	0.000
NUGGET135_D	-1477.806	137.471	661.165	0.007	0.006	0.005	0.000
NUGGET136_2	-1350.559	-432.857	195.394	0.007	0.005	0.005	0.000
NUGGET136_6	-1349.215	-433.119	174.852	0.007	0.006	0.006	0.000
NUGGET136_15	-1345.093	-453.531	164.366	0.007	0.005	0.005	0.000
NUGGET136_A	-1348.197	-433.338	159.760	0.007	0.006	0.005	0.000
NUGGET136_B	-1343.711	-468.103	181.197	0.007	0.005	0.005	0.000
NUGGET136_C	-1344.703	-467.909	196.242	0.007	0.005	0.005	0.000
NUGGET136_D	-1347.177	-453.093	195.863	0.007	0.005	0.005	0.000
NUGGET137_3	-1318.558	-440.765	-287.202	0.008	0.006	0.006	0.000
NUGGET137_6	-1318.450	-435.613	-302.381	0.008	0.006	0.006	0.000
NUGGET137_15	-1314.369	-456.015	-312.842	0.008	0.006	0.006	0.000
NUGGET137_A	-1317.446	-435.848	-317.470	0.008	0.006	0.006	0.000
NUGGET137_B	-1313.031	-470.581	-295.970	0.008	0.006	0.006	0.000
NUGGET137_C	-1313.999	-470.383	-280.966	0.008	0.006	0.006	0.000
NUGGET137_D	-1316.422	-455.557	-281.336	0.008	0.006	0.006	0.000
TARGET1	-1431.070	83.961	87.850	0.008	0.006	0.006	0.000
TARGET2	-1430.250	102.502	25.969	0.008	0.006	0.006	0.000
TARGET3	-1436.018	69.393	202.175	0.008	0.007	0.006	0.000
TARGET4	-1434.476	104.115	87.478	0.008	0.006	0.006	0.000
TARGET5	-1437.129	86.818	173.222	0.008	0.006	0.006	0.000
TARGET6	-1438.906	74.437	233.109	0.009	0.006	0.007	0.000
TARGET7	-1439.451	89.549	201.853	0.007	0.006	0.006	0.000
TARGET8	-1434.929	141.467	-3.829	0.008	0.006	0.006	0.000
TARGET9	-1437.885	124.209	87.059	0.007	0.006	0.006	0.000
TARGET10	-1440.529	106.982	172.954	0.007	0.006	0.006	0.000
TARGET11	-1436.979	142.457	25.373	0.008	0.006	0.006	0.000
TARGET12	-1435.868	158.351	-32.674	0.008	0.006	0.006	0.000
TARGET13	-1441.273	144.236	86.699	0.009	0.007	0.006	0.000
TARGET14	-1434.825	196.859	-149.424	0.007	0.006	0.005	0.000
TARGET15	-1442.998	143.681	114.872	0.007	0.006	0.006	0.000
