CODE137	-2921.017	-25.976	192.031	0.003	0.003	0.003	0.000
CODE139	-3605.978	878.380	553.416	0.004	0.003	0.003	0.000
CODE140	-3263.778	428.169	371.530	0.003	0.003	0.003	0.000
CODE142	-3796.345	1060.852	-268.862	0.005	0.004	0.004	0.000
CODE149	-3455.825	642.192	-61.743	0.003	0.003	0.003	0.000
CODE150	-3489.165	666.211	-306.858	0.004	0.003	0.003	0.000
CODE152	-3600.771	816.589	-203.592	0.004	0.003	0.003	0.000
CODE157	-3264.722	403.541	22.493	0.004	0.004	0.003	0.000
CODE200	-3367.048	533.500	5.251	0.004	0.003	0.003	0.000
NUGGET137_3	-2927.058	-17.099	206.057	0.004	0.003	0.003	0.000
NUGGET137_6	-2933.440	-9.855	193.283	0.003	0.003	0.003	0.000
NUGGET137_15	-2924.005	-23.265	176.731	0.003	0.003	0.003	0.000
NUGGET137_A	-2936.720	-6.765	178.834	0.004	0.003	0.003	0.000
NUGGET137_B	-2911.829	-38.107	188.113	0.003	0.003	0.003	0.000
NUGGET137_C	-2908.564	-41.187	202.484	0.004	0.003	0.003	0.000
NUGGET137_D	-2917.190	-29.710	206.893	0.004	0.003	0.003	0.000
TARGET1	-3057.359	139.136	56.519	0.003	0.003	0.003	0.000
TARGET2	-3080.072	165.443	17.487	0.003	0.003	0.003	0.000
TARGET3	-3161.939	263.416	-82.688	0.003	0.003	0.003	0.000
TARGET4	-3085.324	170.515	-5.250	0.003	0.003	0.003	0.000
TARGET5	-3073.191	154.397	-11.674	0.003	0.003	0.003	0.000
TARGET6	-3055.734	133.111	4.647	0.003	0.003	0.003	0.000
TARGET7	-3116.068	204.414	-81.221	0.003	0.003	0.003	0.000
TARGET8	-3120.257	208.306	-101.583	0.003	0.003	0.003	0.000
TARGET9	-3055.639	116.334	-215.594	0.003	0.003	0.003	0.000
TARGET10	-3037.453	93.934	-202.029	0.003	0.003	0.003	0.000
TARGET11	-3130.011	222.839	-74.944	0.003	0.003	0.003	0.000
TARGET12	-3064.199	150.217	85.703	0.003	0.003	0.003	0.000
TARGET13	-3069.511	155.301	62.917	0.003	0.003	0.003	0.000
TARGET14	-3052.074	134.077	79.277	0.003	0.003	0.003	0.000
TARGET15	-3039.870	117.851	72.863	0.003	0.003	0.003	0.000
TARGET16	-3045.163	122.921	50.075	0.003	0.003	0.003	0.000
TARGET17	-3143.901	241.219	-68.622	0.003	0.003	0.003	0.000
TARGET18	-3060.992	138.154	-18.154	0.003	0.003	0.003	0.000
TARGET19	-3050.465	128.023	27.323	0.003	0.003	0.003	0.000
TARGET20	-3318.335	479.345	118.840	0.003	0.003	0.003	0.000
TARGET21	-3169.727	285.238	74.882	0.003	0.003	0.003	0.000
TARGET22	-3074.776	160.361	40.176	0.003	0.003	0.003	0.000
TARGET23	-3180.015	285.664	-96.771	0.003	0.003	0.003	0.000
TARGET24	-3062.631	144.217	33.802	0.003	0.003	0.003	0.000
TARGET25	-3067.934	149.328	11.090	0.003	0.003	0.003	0.000
TARGET26	-3148.071	245.095	-88.985	0.003	0.003	0.003	0.000
TARGET27	-3152.238	248.910	-109.377	0.003	0.003	0.003	0.000
TARGET28	-3124.404	212.103	-121.982	0.003	0.003	0.003	0.000
TARGET29	-3060.505	126.220	-167.946	0.003	0.003	0.003	0.000
TARGET30	-3069.477	134.714	-208.740	0.003	0.003	0.003	0.000
TARGET31	-3136.371	250.494	183.196	0.003	0.003	0.003	0.000
TARGET32	-3146.563	252.898	40.868	0.003	0.003	0.003	0.000
